it,step_length,step_norm,obj,fx
205,3.709206150687421386e-68,2.319023400792464536e-70,1.742406377628546554e+00,1.742406377628546554e+00
206,1.854603075343710693e-68,1.159511700396232268e-70,1.742406377628546554e+00,1.742406377628546554e+00
207,9.273015376718553464e-69,5.797558501981161340e-71,1.742406377628546554e+00,1.742406377628546554e+00
208,4.636507688359276732e-69,2.898779250990580670e-71,1.742406377628546554e+00,1.742406377628546554e+00
209,2.318253844179638366e-69,1.449389625495290335e-71,1.742406377628546554e+00,1.742406377628546554e+00
210,1.159126922089819183e-69,7.246948127476451675e-72,1.742406377628546554e+00,1.742406377628546554e+00
211,5.795634610449095915e-70,3.623474063738225838e-72,1.742406377628546554e+00,1.742406377628546554e+00
212,2.897817305224547958e-70,1.811737031869112919e-72,1.742406377628546554e+00,1.742406377628546554e+00
213,1.448908652612273979e-70,9.058685159345564594e-73,1.742406377628546554e+00,1.742406377628546554e+00
214,7.244543263061369894e-71,4.529342579672782297e-73,1.742406377628546554e+00,1.742406377628546554e+00
215,3.622271631530684947e-71,2.264671289836391149e-73,1.742406377628546554e+00,1.742406377628546554e+00
216,1.811135815765342474e-71,1.132335644918195574e-73,1.742406377628546554e+00,1.742406377628546554e+00
217,9.055679078826712368e-72,5.661678224590977871e-74,1.742406377628546554e+00,1.742406377628546554e+00
218,4.527839539413356184e-72,2.830839112295488936e-74,1.742406377628546554e+00,1.742406377628546554e+00
219,2.263919769706678092e-72,1.415419556147744468e-74,1.742406377628546554e+00,1.742406377628546554e+00
220,1.131959884853339046e-72,7.077097780738722339e-75,1.742406377628546554e+00,1.742406377628546554e+00
221,5.659799424266695230e-73,3.538548890369361170e-75,1.742406377628546554e+00,1.742406377628546554e+00
222,2.829899712133347615e-73,1.769274445184680585e-75,1.742406377628546554e+00,1.742406377628546554e+00
223,1.414949856066673807e-73,8.846372225923402924e-76,1.742406377628546554e+00,1.742406377628546554e+00
224,7.074749280333369037e-74,4.423186112961701462e-76,1.742406377628546554e+00,1.742406377628546554e+00
225,3.537374640166684519e-74,2.211593056480850731e-76,1.742406377628546554e+00,1.742406377628546554e+00
226,1.768687320083342259e-74,1.105796528240425365e-76,1.742406377628546554e+00,1.742406377628546554e+00
227,8.843436600416711296e-75,5.528982641202126827e-77,1.742406377628546554e+00,1.742406377628546554e+00
228,4.421718300208355648e-75,2.764491320601063414e-77,1.742406377628546554e+00,1.742406377628546554e+00
229,2.210859150104177824e-75,1.382245660300531707e-77,1.742406377628546554e+00,1.742406377628546554e+00
230,1.105429575052088912e-75,6.911228301502658534e-78,1.742406377628546554e+00,1.742406377628546554e+00
231,5.527147875260444560e-76,3.455614150751329267e-78,1.742406377628546554e+00,1.742406377628546554e+00
232,2.763573937630222280e-76,1.727807075375664634e-78,1.742406377628546554e+00,1.742406377628546554e+00
233,1.381786968815111140e-76,8.639035376878323168e-79,1.742406377628546554e+00,1.742406377628546554e+00
234,6.908934844075555700e-77,4.319517688439161584e-79,1.742406377628546554e+00,1.742406377628546554e+00
235,3.454467422037777850e-77,2.159758844219580792e-79,1.742406377628546554e+00,1.742406377628546554e+00
236,1.727233711018888925e-77,1.079879422109790396e-79,1.742406377628546554e+00,1.742406377628546554e+00
237,8.636168555094444625e-78,5.399397110548951980e-80,1.742406377628546554e+00,1.742406377628546554e+00
238,4.318084277547222313e-78,2.699698555274475990e-80,1.742406377628546554e+00,1.742406377628546554e+00
239,2.159042138773611156e-78,1.349849277637237995e-80,1.742406377628546554e+00,1.742406377628546554e+00
240,1.079521069386805578e-78,6.749246388186189975e-81,1.742406377628546554e+00,1.742406377628546554e+00
241,5.397605346934027891e-79,3.374623194093094987e-81,1.742406377628546554e+00,1.742406377628546554e+00
242,2.698802673467013945e-79,1.687311597046547494e-81,1.742406377628546554e+00,1.742406377628546554e+00
243,1.349401336733506973e-79,8.436557985232737469e-82,1.742406377628546554e+00,1.742406377628546554e+00
244,6.747006683667534864e-80,4.218278992616368734e-82,1.742406377628546554e+00,1.742406377628546554e+00
245,3.373503341833767432e-80,2.109139496308184367e-82,1.742406377628546554e+00,1.742406377628546554e+00
246,1.686751670916883716e-80,1.054569748154092184e-82,1.742406377628546554e+00,1.742406377628546554e+00
247,8.433758354584418579e-81,5.272848740770460918e-83,1.742406377628546554e+00,1.742406377628546554e+00
248,4.216879177292209290e-81,2.636424370385230459e-83,1.742406377628546554e+00,1.742406377628546554e+00
249,2.108439588646104645e-81,1.318212185192615229e-83,1.742406377628546554e+00,1.742406377628546554e+00
250,1.054219794323052322e-81,6.591060925963076147e-84,1.742406377628546554e+00,1.742406377628546554e+00
251,5.271098971615261612e-82,3.295530462981538074e-84,1.742406377628546554e+00,1.742406377628546554e+00
252,2.635549485807630806e-82,1.647765231490769037e-84,1.742406377628546554e+00,1.742406377628546554e+00
253,1.317774742903815403e-82,8.238826157453845184e-85,1.742406377628546554e+00,1.742406377628546554e+00
254,6.588873714519077015e-83,4.119413078726922592e-85,1.742406377628546554e+00,1.742406377628546554e+00
255,3.294436857259538508e-83,2.059706539363461296e-85,1.742406377628546554e+00,1.742406377628546554e+00
256,1.647218428629769254e-83,1.029853269681730648e-85,1.742406377628546554e+00,1.742406377628546554e+00
257,8.236092143148846269e-84,5.149266348408653240e-86,1.742406377628546554e+00,1.742406377628546554e+00
258,4.118046071574423135e-84,2.574633174204326620e-86,1.742406377628546554e+00,1.742406377628546554e+00
259,2.059023035787211567e-84,1.287316587102163310e-86,1.742406377628546554e+00,1.742406377628546554e+00
260,1.029511517893605784e-84,6.436582935510816550e-87,1.742406377628546554e+00,1.742406377628546554e+00
261,5.147557589468028918e-85,3.218291467755408275e-87,1.742406377628546554e+00,1.742406377628546554e+00
262,2.573778794734014459e-85,1.609145733877704138e-87,1.742406377628546554e+00,1.742406377628546554e+00
263,1.286889397367007230e-85,8.045728669388520688e-88,1.742406377628546554e+00,1.742406377628546554e+00
264,6.434446986835036148e-86,4.022864334694260344e-88,1.742406377628546554e+00,1.742406377628546554e+00
265,3.217223493417518074e-86,2.011432167347130172e-88,1.742406377628546554e+00,1.742406377628546554e+00
266,1.608611746708759037e-86,1.005716083673565086e-88,1.742406377628546554e+00,1.742406377628546554e+00
267,8.043058733543795185e-87,5.028580418367825430e-89,1.742406377628546554e+00,1.742406377628546554e+00
268,4.021529366771897592e-87,2.514290209183912715e-89,1.742406377628546554e+00,1.742406377628546554e+00
269,2.010764683385948796e-87,1.257145104591956357e-89,1.742406377628546554e+00,1.742406377628546554e+00
270,1.005382341692974398e-87,6.285725522959781787e-90,1.742406377628546554e+00,1.742406377628546554e+00
271,5.026911708464871990e-88,3.142862761479890894e-90,1.742406377628546554e+00,1.742406377628546554e+00
272,2.513455854232435995e-88,1.571431380739945447e-90,1.742406377628546554e+00,1.742406377628546554e+00
273,1.256727927116217998e-88,7.857156903699727234e-91,1.742406377628546554e+00,1.742406377628546554e+00
274,6.283639635581089988e-89,3.928578451849863617e-91,1.742406377628546554e+00,1.742406377628546554e+00
275,3.141819817790544994e-89,1.964289225924931809e-91,1.742406377628546554e+00,1.742406377628546554e+00
276,1.570909908895272497e-89,9.821446129624659043e-92,1.742406377628546554e+00,1.742406377628546554e+00
277,7.854549544476362485e-90,4.910723064812329521e-92,1.742406377628546554e+00,1.742406377628546554e+00
