Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,8.75E-07,6.81E-17,2.10E-16,7.19E-16,3.68E-17,4.81E-09,1.41E-16
2,9.77E-07,8.47E-17,2.64E-16,9.01E-16,4.34E-17,5.11E-09,1.66E-16
2,1.08E-06,1.04E-16,3.27E-16,1.11E-15,5.09E-17,5.42E-09,1.93E-16
2,1.19E-06,1.26E-16,3.99E-16,1.35E-15,5.93E-17,5.72E-09,2.23E-16
2,1.31E-06,1.52E-16,4.81E-16,1.62E-15,6.86E-17,6.03E-09,2.56E-16
2,1.42E-06,1.80E-16,5.73E-16,1.93E-15,7.88E-17,6.34E-09,2.93E-16
2,1.54E-06,2.12E-16,6.76E-16,2.26E-15,9.00E-17,6.64E-09,3.32E-16
2,1.67E-06,2.47E-16,7.90E-16,2.63E-15,1.02E-16,6.95E-09,3.75E-16
2,1.80E-06,2.86E-16,9.15E-16,3.03E-15,1.16E-16,7.47E-09,4.21E-16
2,1.92E-06,3.28E-16,1.05E-15,3.46E-15,1.30E-16,7.99E-09,4.70E-16
2,2.05E-06,3.74E-16,1.20E-15,3.92E-15,1.46E-16,8.52E-09,5.23E-16
2,2.19E-06,4.24E-16,1.36E-15,4.41E-15,1.63E-16,9.04E-09,5.79E-16
2,2.32E-06,4.77E-16,1.52E-15,4.93E-15,1.81E-16,9.57E-09,6.39E-16
2,2.46E-06,5.34E-16,1.70E-15,5.48E-15,2.00E-16,1.01E-08,7.02E-16
2,2.60E-06,5.94E-16,1.89E-15,6.05E-15,2.20E-16,1.06E-08,7.68E-16
2,2.74E-06,6.58E-16,2.09E-15,6.64E-15,2.42E-16,1.11E-08,8.37E-16
2,2.87E-06,7.25E-16,2.29E-15,7.25E-15,2.65E-16,1.16E-08,9.09E-16
2,3.01E-06,7.95E-16,2.51E-15,7.87E-15,2.89E-16,1.21E-08,9.84E-16
2,3.14E-06,8.69E-16,2.73E-15,8.50E-15,3.14E-16,1.26E-08,1.06E-15
2,3.28E-06,9.44E-16,2.95E-15,9.15E-15,3.40E-16,1.31E-08,1.14E-15
2,3.41E-06,1.02E-15,3.19E-15,9.80E-15,3.67E-16,1.35E-08,1.22E-15
2,3.54E-06,1.10E-15,3.42E-15,1.04E-14,3.95E-16,1.40E-08,1.31E-15
2,3.67E-06,1.19E-15,3.66E-15,1.11E-14,4.24E-16,1.44E-08,1.39E-15
2,3.80E-06,1.27E-15,3.90E-15,1.17E-14,4.54E-16,1.48E-08,1.48E-15
2,3.92E-06,1.36E-15,4.14E-15,1.24E-14,4.84E-16,1.52E-08,1.57E-15
2,4.04E-06,1.44E-15,4.38E-15,1.30E-14,5.16E-16,1.56E-08,1.66E-15
2,4.16E-06,1.53E-15,4.62E-15,1.36E-14,5.48E-16,1.59E-08,1.75E-15
2,4.28E-06,1.62E-15,4.85E-15,1.42E-14,5.80E-16,1.62E-08,1.84E-15
2,4.39E-06,1.70E-15,5.08E-15,1.48E-14,6.13E-16,1.65E-08,1.93E-15
2,4.50E-06,1.79E-15,5.30E-15,1.53E-14,6.46E-16,1.67E-08,2.02E-15
2,4.60E-06,1.87E-15,5.52E-15,1.58E-14,6.79E-16,1.70E-08,2.12E-15
2,4.70E-06,1.96E-15,5.73E-15,1.63E-14,7.13E-16,1.72E-08,2.21E-15
2,4.79E-06,2.04E-15,5.93E-15,1.67E-14,7.46E-16,1.73E-08,2.30E-15
2,4.89E-06,2.12E-15,6.12E-15,1.71E-14,7.79E-16,1.75E-08,2.38E-15
2,4.98E-06,2.20E-15,6.30E-15,1.75E-14,8.12E-16,1.76E-08,2.47E-15
