Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,3.94E-06,3.96E-08,4.97E-08,9.65E-08,3.19E-08,2.89E-08,6.34E-08
2,4.17E-06,4.16E-08,5.25E-08,1.01E-07,3.34E-08,3.04E-08,6.63E-08
2,4.40E-06,4.36E-08,5.53E-08,1.06E-07,3.48E-08,3.17E-08,6.90E-08
2,4.63E-06,4.56E-08,5.81E-08,1.11E-07,3.63E-08,3.30E-08,7.16E-08
2,4.85E-06,4.75E-08,6.09E-08,1.15E-07,3.76E-08,3.41E-08,7.41E-08
2,5.06E-06,4.94E-08,6.37E-08,1.20E-07,3.89E-08,3.52E-08,7.65E-08
2,5.27E-06,5.13E-08,6.65E-08,1.24E-07,4.02E-08,3.63E-08,7.87E-08
2,5.48E-06,5.31E-08,6.92E-08,1.29E-07,4.14E-08,3.72E-08,8.08E-08
2,5.68E-06,5.49E-08,7.20E-08,1.33E-07,4.25E-08,3.80E-08,8.28E-08
2,5.87E-06,5.66E-08,7.48E-08,1.37E-07,4.36E-08,3.88E-08,8.46E-08
2,6.06E-06,5.83E-08,7.75E-08,1.41E-07,4.46E-08,3.95E-08,8.63E-08
2,6.24E-06,5.99E-08,8.02E-08,1.45E-07,4.56E-08,4.01E-08,8.79E-08
2,6.41E-06,6.15E-08,8.29E-08,1.49E-07,4.65E-08,4.06E-08,8.93E-08
2,6.58E-06,6.30E-08,8.55E-08,1.53E-07,4.74E-08,4.10E-08,9.06E-08
2,6.74E-06,6.45E-08,8.81E-08,1.57E-07,4.82E-08,4.14E-08,9.17E-08
2,6.89E-06,6.59E-08,9.06E-08,1.60E-07,4.89E-08,4.16E-08,9.27E-08
2,7.04E-06,6.72E-08,9.31E-08,1.63E-07,4.95E-08,4.18E-08,9.36E-08
2,7.18E-06,6.84E-08,9.54E-08,1.67E-07,5.01E-08,4.20E-08,9.44E-08
2,7.31E-06,6.96E-08,9.78E-08,1.70E-07,5.07E-08,4.20E-08,9.50E-08
2,7.43E-06,7.07E-08,1.00E-07,1.73E-07,5.12E-08,4.20E-08,9.55E-08
